caption_length,post_hour,hashtag_count,num_mentions,media_count,follower_count_k,high_engagement
59,18,9,2,10,6.33,1
30,2,7,2,1,6.52,0
99,21,10,0,10,12.94,1
57,13,7,2,1,29.2,1
75,7,6,4,1,7.82,0
178,22,7,2,2,1.45,0
54,3,4,3,1,7.54,1
97,19,12,0,1,3.98,0
113,10,5,1,1,42.5,0
140,10,8,1,10,18.42,1
72,10,9,0,1,1.28,0
68,1,7,0,2,5.7,0
67,16,5,2,3,1.27,0
92,8,4,1,3,27.08,1
158,1,4,0,2,36.01,0
66,23,7,2,1,2.29,0
18,14,7,2,1,9.21,1
119,15,5,0,1,40.8,1
79,3,6,1,1,2.85,0
100,7,5,0,1,5.68,1
31,8,4,2,1,5.94,0
57,4,5,0,5,0.96,0
114,15,6,2,5,1.05,1
37,12,8,1,1,46.3,0
97,6,5,2,1,13.2,0
75,19,6,3,1,5.99,1
50,16,5,0,1,7.64,0
48,2,9,1,1,19.32,0
43,4,4,0,5,7.35,0
79,18,2,2,1,4.38,0
84,11,3,1,1,2.11,0
62,6,11,2,1,20.08,0
41,8,13,0,10,3.49,0
96,5,9,1,5,1.58,1
120,16,7,0,3,8.85,0
105,15,3,1,1,1.11,0
200,22,5,1,1,50.79,0
69,2,10,1,1,15.3,1
150,20,8,0,1,2.99,0
53,3,7,1,3,3.34,0
49,9,10,2,1,13.15,1
81,4,10,0,1,7.11,0
167,20,5,0,2,22.83,1
65,21,2,2,1,12.34,1
31,9,2,0,2,9.02,0
119,11,7,1,1,49.94,1
73,9,7,0,1,7.93,1
89,12,7,1,1,8.18,0
50,10,12,1,5,16.94,0
81,21,3,1,1,25.37,0
33,15,8,0,1,15.26,0
186,7,6,1,1,18.49,0
131,7,6,2,2,7.5,1
79,7,5,0,3,10.29,0
117,12,5,2,1,3.79,0
53,1,6,3,1,17.6,1
128,11,10,0,10,4.25,1
63,9,4,2,3,0.52,0
61,11,6,2,2,41.22,1
44,10,7,2,1,5.98,0
95,14,12,2,1,3.78,0
77,15,7,6,3,5.18,1
152,16,4,2,2,6.52,1
42,1,6,1,2,10.15,0
95,17,4,1,1,1.58,0
137,11,4,1,2,1.31,1
248,18,3,2,3,5.7,0
84,22,10,1,5,5.76,1
63,17,5,4,1,2.38,1
83,16,4,0,2,8.28,1
146,5,8,0,2,5.51,0
146,14,6,1,5,0.9,1
71,2,7,0,3,33.04,0
144,5,6,1,10,33.08,1
75,2,9,4,10,4.02,1
117,0,2,1,1,3.17,0
101,12,6,0,3,12.39,1
61,20,7,0,2,15.44,1
45,13,5,3,1,47.89,1
139,12,3,2,1,7.61,0
160,3,8,0,1,14.94,0
94,6,6,0,3,32.08,0
75,21,4,2,1,9.47,1
39,9,7,0,5,2.46,0
137,6,4,2,2,7.61,1
88,20,4,1,2,2.7,1
66,14,6,1,1,0.75,0
118,14,10,1,2,21.39,1
35,3,2,1,1,4.59,0
43,22,4,2,1,0.53,0
52,22,5,0,3,31.39,1
99,5,10,3,2,9.3,0
84,23,9,0,1,4.59,0
106,19,10,1,3,5.07,1
133,4,5,2,1,4.63,1
108,19,7,2,1,3.75,0
188,11,3,2,2,28.1,0
132,0,7,0,1,3.3,0
71,7,4,5,2,12.88,1
57,0,3,1,2,1.71,0
73,4,1,0,2,45.29,0
110,21,5,1,1,14.37,0
60,5,6,3,1,35.52,1
111,20,8,0,1,8.11,0
105,2,6,1,10,25.46,1
45,14,8,0,1,29.33,0
131,4,4,1,1,18.71,0
92,23,3,3,5,1.96,1
183,13,6,1,3,0.74,0
75,17,3,0,3,3.27,0
65,15,8,0,10,2.39,1
42,5,3,0,1,19.87,0
41,23,7,0,1,12.71,0
123,13,9,0,1,11.7,1
173,23,6,0,1,4.87,1
72,7,8,3,2,3.02,0
70,6,6,2,1,3.97,0
79,7,8,4,3,8.17,1
136,12,7,1,1,20.71,1
45,5,4,0,1,4.91,0
86,17,6,1,2,18.49,1
124,1,7,0,1,10.64,1
99,7,4,1,3,33.0,1
16,10,7,0,10,4.48,1
108,0,11,0,3,9.49,0
99,21,7,1,1,2.02,1
149,5,8,0,5,6.62,1
166,15,8,2,1,11.11,0
146,19,7,0,3,20.29,1
79,11,6,2,1,3.81,0
30,10,5,1,1,4.19,0
69,9,6,1,10,15.48,1
78,2,5,1,1,7.73,0
172,12,3,2,3,10.37,0
50,2,11,1,1,27.63,0
35,14,4,0,3,10.87,1
60,15,10,1,10,16.35,1
52,12,6,1,1,16.54,1
34,16,10,0,2,24.91,1
73,2,4,2,2,15.75,1
80,19,12,1,5,1.51,0
33,10,6,1,1,6.78,0
64,20,7,0,2,68.59,1
50,18,5,1,1,3.78,0
25,21,6,0,1,13.75,1
81,10,3,3,1,28.27,1
85,15,6,2,2,13.75,1
50,20,10,0,5,7.48,1
130,2,5,1,1,1.75,0
77,21,5,2,2,7.23,0
51,5,4,0,2,3.51,1
31,13,7,0,1,49.11,0
88,23,4,1,5,19.33,1
99,17,9,1,1,21.26,1
58,16,4,1,1,9.09,0
82,3,3,1,1,2.25,0
166,22,6,0,5,5.15,0
120,14,9,0,10,5.01,1
21,10,8,2,1,10.51,0
51,2,11,1,1,9.77,0
71,2,3,1,2,9.02,0
79,15,2,1,3,10.78,0
83,4,7,2,2,65.67,1
96,20,4,1,10,5.81,1
72,9,4,1,3,14.83,1
77,18,5,2,5,4.61,1
123,3,6,0,2,9.93,0
89,18,6,3,1,3.85,1
40,10,8,2,3,12.75,1
81,1,9,1,1,5.12,0
71,9,6,0,1,1.06,0
25,10,4,0,1,25.83,0
83,19,7,1,2,2.56,1
42,15,4,2,2,7.38,0
124,18,5,1,2,10.23,1
95,22,5,1,1,9.0,1
38,23,7,3,2,19.9,0
121,10,3,2,1,14.12,0
151,13,7,2,2,5.75,0
66,1,7,3,1,1.3,1
71,22,7,1,3,22.39,0
115,4,6,1,3,7.02,0
145,4,3,1,3,33.57,0
29,18,6,0,3,8.04,0
41,20,5,1,2,19.47,1
61,11,10,0,1,42.59,0
64,17,8,2,2,16.3,1
113,3,4,1,2,8.5,1
145,21,7,1,2,13.07,0
151,16,10,0,1,12.26,1
28,9,8,1,5,13.69,0
48,19,4,2,1,2.88,0
37,5,2,6,1,18.49,0
55,13,5,2,10,2.85,1
48,10,4,0,3,0.72,0
95,10,7,0,1,15.2,0
101,17,3,3,5,2.36,1
76,22,9,1,1,22.57,1
73,21,7,1,3,30.64,1
62,17,10,2,2,43.93,1
66,23,8,2,2,16.88,0
165,22,6,2,3,10.37,1
109,10,8,4,1,7.01,1
63,20,8,4,1,10.63,1
72,11,7,0,2,3.67,0
96,4,6,3,1,6.93,0
38,22,10,1,10,19.48,1
82,8,7,2,2,4.18,0
106,8,11,0,1,5.1,0
99,21,9,1,2,21.25,1
49,9,5,3,1,3.44,0
54,21,10,0,1,4.73,0
24,18,8,2,1,0.77,0
112,0,6,0,10,19.6,1
202,6,4,0,1,14.93,0
45,3,4,1,1,18.28,1
132,0,10,1,1,4.12,0
192,14,3,0,1,17.94,0
59,7,3,0,1,14.11,0
72,11,6,0,3,7.34,1
87,21,7,3,10,9.14,1
97,21,9,1,1,13.09,1
90,17,8,3,2,10.7,1
61,14,6,1,10,15.9,1
105,16,8,1,1,3.49,0
62,13,7,1,1,12.17,0
93,13,6,2,5,9.48,1
75,17,4,0,3,9.77,1
27,19,7,1,1,10.01,0
142,17,8,3,1,32.49,1
55,15,4,3,1,26.11,1
149,0,6,1,1,15.4,0
129,22,3,1,3,19.41,1
86,10,7,0,2,1.16,0
100,14,5,1,2,20.94,1
106,11,6,2,1,10.49,0
68,7,5,2,1,6.24,1
70,21,9,0,1,2.76,0
103,19,3,2,3,1.67,1
75,5,6,1,2,1.19,0
62,2,5,0,1,3.15,1
49,23,6,0,1,0.96,0
94,12,13,0,3,20.29,0
54,12,5,2,2,4.79,1
118,1,9,1,1,7.4,0
123,4,12,1,1,26.45,0
99,16,3,0,1,2.33,0
110,5,6,1,3,27.58,0
100,1,11,2,2,15.81,0
114,3,9,2,3,6.78,1
112,21,10,0,5,2.38,1
92,10,7,0,10,1.94,1
130,7,10,2,1,6.63,1
70,11,6,1,1,2.77,1
50,7,7,0,2,5.17,0
49,10,15,0,1,1.32,0
64,21,6,1,3,14.06,1
25,19,4,2,5,2.85,1
85,7,3,1,2,21.7,0
107,7,8,2,1,4.19,1
122,16,9,0,1,24.49,1
30,19,9,1,1,3.66,1
50,19,3,1,3,19.67,1
116,22,6,0,1,6.58,0
69,15,12,1,1,13.62,0
106,13,8,1,1,1.09,0
37,10,3,1,10,10.76,1
149,6,3,1,2,2.91,0
36,15,5,1,5,10.49,1
84,12,7,1,3,2.79,1
85,14,8,2,2,9.12,0
58,23,6,1,1,2.26,0
98,15,5,0,1,4.23,1
99,20,8,1,2,14.06,1
94,22,6,0,5,56.86,1
57,23,9,0,1,9.45,0
52,8,10,0,1,17.93,0
61,2,6,2,2,12.13,0
48,18,5,2,1,10.85,1
133,19,8,3,2,1.5,1
64,4,8,0,1,2.84,0
83,9,3,0,1,32.69,1
116,16,2,5,1,8.42,0
47,14,7,1,2,14.79,0
35,22,7,1,2,11.77,0
48,7,5,1,1,7.64,0
87,14,9,2,5,7.86,1
84,20,4,0,1,12.66,1
93,13,12,2,1,2.78,0
72,19,8,1,2,7.85,1
18,6,7,2,1,9.39,0
71,20,4,2,2,63.62,1
124,22,7,1,10,7.0,1
140,11,8,3,2,16.02,1
80,16,8,3,2,2.72,1
85,16,3,0,2,1.52,0
105,9,3,1,1,31.28,0
138,18,8,1,1,20.18,1
76,13,10,2,1,6.23,0
104,10,10,1,10,11.04,1
56,1,13,2,1,2.69,0
38,17,3,1,2,18.92,0
59,6,4,3,5,1.59,0
155,11,6,2,3,21.72,1
105,1,2,1,10,12.37,1
40,19,6,3,2,5.4,0
107,17,6,0,1,30.27,1
41,5,4,3,3,64.61,1
93,23,10,1,1,4.9,0
46,9,5,0,1,25.12,0
38,19,6,0,3,21.3,0
168,14,10,4,2,21.13,1
64,4,10,1,5,47.78,0
104,19,8,1,10,10.5,1
78,2,6,1,5,17.32,1
43,4,6,0,1,26.55,0
67,7,6,1,2,10.3,0
43,7,2,2,3,10.35,0
231,7,10,3,10,6.26,1
114,11,3,0,1,23.27,0
77,23,7,0,1,17.88,1
101,22,7,2,5,9.5,1
110,7,9,1,1,8.65,0
110,10,7,0,2,1.63,1
108,13,3,1,1,0.6,0
103,7,8,2,1,11.79,0
80,23,3,1,3,8.61,0
162,9,6,1,1,24.35,0
83,6,5,1,2,12.23,1
78,16,3,0,1,41.9,0
